default,student,balance,income
Yes,No,1804.0,31318.29603
No,Yes,356.0,21466.20708
No,No,459.0,59731.28878
No,No,897.0,66547.91535
No,No,414.0,40877.22645
No,Yes,979.0,26010.8878
No,No,407.0,41505.40605
Yes,Yes,2135.0,20330.86487
Yes,No,1972.0,34362.63501
No,Yes,1039.0,13739.71928
No,Yes,37.0,16942.30534
No,Yes,1313.0,15495.02659
No,Yes,366.0,15953.97561
No,No,1100.0,34281.25517
Yes,No,2024.0,32094.62781
No,Yes,1200.0,10817.56196
No,No,472.0,60656.05079
No,No,900.0,47093.73838
No,No,1418.0,38034.14443
No,No,442.0,44227.91027
No,No,444.0,47857.71461
No,No,899.0,39630.63879
No,No,460.0,44527.27275
Yes,No,1855.0,38406.35646
No,No,958.0,40315.77284
No,Yes,92.0,19153.72843
No,No,950.0,64396.16534
No,Yes,1306.0,18996.35032
No,Yes,6.0,18912.61406
No,No,474.0,35980.75279
No,Yes,1196.0,19665.8292
No,Yes,1306.0,13984.78526
No,No,460.0,47305.21604
No,Yes,1177.0,23634.81573
No,Yes,976.0,25920.32191
No,No,737.0,54160.85789
No,No,544.0,43306.62114
No,No,469.0,37879.25652
No,No,1311.0,47805.79785
No,No,452.0,39990.76569
No,Yes,368.0,26670.01211
No,Yes,1182.0,11784.80226
No,Yes,364.0,21487.6441
Yes,No,2074.0,52335.5506
Yes,Yes,2270.0,18021.10595
No,No,951.0,20616.0807
No,Yes,1311.0,16742.95252
No,No,1420.0,40295.2688
No,No,969.0,33763.19028
No,No,737.0,50544.78419
No,No,1410.0,62395.03815
No,No,964.0,46501.9112
No,No,965.0,43744.98335
No,No,455.0,36488.15785
No,No,453.0,48034.23771
No,No,959.0,55089.99026
No,No,949.0,38247.91323
No,Yes,602.0,16266.3026
No,Yes,611.0,19733.2518
No,No,1411.0,58310.25593
No,No,964.0,36330.3946
No,No,460.0,52708.55985
No,No,443.0,43991.81237
Yes,Yes,2179.0,15302.7765
No,Yes,68.0,10996.08786
No,No,966.0,29219.07078
No,Yes,1230.0,16240.76757
No,No,1495.0,42280.40785
Yes,No,2202.0,47287.25711
Yes,No,2054.0,37366.76505
Yes,Yes,1628.0,17546.99702
No,No,456.0,43943.49589
No,No,963.0,33110.30411
Yes,No,2221.0,40725.09621
No,No,954.0,32640.14405
No,Yes,595.0,17875.33907
No,No,954.0,32457.50908
No,Yes,377.0,16042.23892
No,No,465.0,17862.22687
No,No,476.0,25774.48762
No,No,939.0,55360.03312
No,No,449.0,40992.30273
No,No,1418.0,38015.16636
No,No,949.0,50404.27876
Yes,No,1907.0,42346.82846
No,Yes,605.0,14896.59187
No,No,901.0,38613.42665
No,No,444.0,46611.02063
No,Yes,16.0,24291.34942
No,No,444.0,56881.20657
No,No,403.0,29200.98376
No,Yes,1176.0,18178.08193
No,No,955.0,26372.98582
No,Yes,386.0,18352.43625
No,Yes,1306.0,28929.38474
No,No,940.0,33874.81453
Yes,Yes,2067.0,10470.636
No,No,474.0,43522.46238
Yes,Yes,1926.0,17763.3503
No,No,1404.0,35043.10603
No,Yes,62.0,20267.49993
No,Yes,365.0,22122.52108
Yes,No,1751.0,38381.5858
No,Yes,1195.0,18943.40411
No,Yes,51.0,16251.61106
Yes,Yes,1894.0,21526.35063
No,No,938.0,34184.94288
